"Freq"	"Normalized_Count"	"Log_Count"
"ENSMUSG00000083892.3"	3	76.6024397047549	6.27803010418923
"ENSMUSG00000084127.1"	1	6.49173217836906	2.90529932565609
"ENSMUSG00000084817.3"	2	51.9338574269525	5.72611888560602
"ENSMUSG00000085711.4"	1	20.773542970781	4.44450427551821
"ENSMUSG00000087153.8"	1	67.5140146550382	6.09832721880404
"ENSMUSG00000087412.4"	1	148.011493666814	7.21927980379502
"ENSMUSG00000090467.3"	1	28.5636215848238	4.88575110734934
"ENSMUSG00000090704.2"	2	36.3537001988667	5.22317925608519
"ENSMUSG00000091269.2"	1	11.6851179210643	3.66506502566832
"ENSMUSG00000091449.3"	1	72.7074003977334	6.20373757148205
"ENSMUSG00000091549.1"	1	253.177554956393	7.98969282915468
"ENSMUSG00000091955.2"	2	569.974085260803	9.15728145740461
"ENSMUSG00000092116.1"	1	12.9834643567381	3.80564992277629
"ENSMUSG00000092368.1"	5	3.89503930702143	2.29132044467416
"ENSMUSG00000094088.2"	5	198.647004658093	7.64130761688051
"ENSMUSG00000094094.2"	2	20.773542970781	4.44450427551821
"ENSMUSG00000094117.1"	1	67.5140146550382	6.09832721880404
"ENSMUSG00000094124.5"	10	183.066847430007	7.52408599378278
"ENSMUSG00000094198.2"	2	66.2156682193644	6.07072566461134
"ENSMUSG00000094335.2"	2	602.432746152649	9.23704917832126
"ENSMUSG00000094344.1"	3	97.3759826755359	6.62023423662862
"ENSMUSG00000094356.2"	1	68.812361090712	6.12541059988077
"ENSMUSG00000094433.2"	1	231.105665549938	7.85863792814451
"ENSMUSG00000094546.1"	2	164.889997330574	7.3740830885059
"ENSMUSG00000094561.1"	11	122.044564953338	6.94303712316576
"ENSMUSG00000094694.6"	1	183.066847430007	7.52408599378278
"ENSMUSG00000094797.1"	4	129.834643567381	7.03160079089502
"ENSMUSG00000094940.1"	4	29.8619680204977	4.94775815818561
"ENSMUSG00000094989.1"	1	33.7570073275191	5.1192319624362
"ENSMUSG00000095130.1"	4	179.171808122986	7.49322947693597
"ENSMUSG00000095197.6"	2	72.7074003977334	6.20373757148205
"ENSMUSG00000095200.2"	7	192.155272479724	7.59361724853294
"ENSMUSG00000095288.1"	1	15.5801572280857	4.05138578272851
"ENSMUSG00000095335.2"	1	199.945351093767	7.65065939055257
"ENSMUSG00000095351.2"	8	3661.33694860015	11.8385488152052
"ENSMUSG00000095442.1"	13	619.311249816408	9.27684847929373
"ENSMUSG00000095565.2"	2	88.2875576258192	6.48038724221382
"ENSMUSG00000095583.1"	4	84.3925183187977	6.41603776827875
"ENSMUSG00000095589.2"	2	297.321333769303	8.22072334218012
"ENSMUSG00000095630.2"	13	277.846137234196	8.12332547570157
"ENSMUSG00000095633.2"	1	36.3537001988667	5.22317925608519
"ENSMUSG00000095642.3"	2	77.9007861404287	6.30196776971732
"ENSMUSG00000095794.2"	7	181.768500994334	7.51387364214559
"ENSMUSG00000096074.2"	4	1397.02076478502	10.4491700738661
"ENSMUSG00000096150.1"	1	24.6685822778024	4.68193171034621
"ENSMUSG00000096326.2"	3	74.0057468334072	6.22892923196828
"ENSMUSG00000096422.2"	2	601.134399716975	9.23394173018833
"ENSMUSG00000096459.1"	6	802.378097246415	9.64993531903871
"ENSMUSG00000096464.2"	4	119.447872081991	6.91226509589675
"ENSMUSG00000096490.1"	2	33.7570073275191	5.1192319624362
"ENSMUSG00000096515.5"	1	66.2156682193644	6.07072566461134
"ENSMUSG00000096632.2"	2	110.359447032274	6.79908014222903
"ENSMUSG00000096715.2"	2	141.519761488445	7.15501816396253
"ENSMUSG00000096768.8"	1	328.481648225474	8.36405430067898
"ENSMUSG00000097971.3"	36	2018.92870747278	10.980088659228
"ENSMUSG00000098343.1"	1	7.79007861404287	3.13587606816534
"ENSMUSG00000098973.1"	3	2250.03437302272	11.1363723714012
"ENSMUSG00000099492.1"	1	22.0718894064548	4.52806424913397
"ENSMUSG00000099764.1"	1	492.073299120375	8.94565831998223
"ENSMUSG00000099875.1"	1	57.1272431696477	5.86114258164756
