"","Naive_Control_Rep_1","Naive_Control_Rep_2","Naive_Control_Rep_3","Naive_DEX_Rep_1","Naive_DEX_Rep_2","Naive_DEX_Rep_3"
"ENSMUSG00000001166.17",302.776271902572,323.141584795869,347.256836545658,261.310971696374,277.926692589231,312.901490997389
"ENSMUSG00000001173.15",335.72084034793,379.085993533138,336.405060403607,313.383810259057,332.188570666176,345.360151889234
"ENSMUSG00000001175.15",13636.6981529177,10373.9303604751,10151.8365808895,11787.3970928256,11727.1829668246,11254.0669044206
"ENSMUSG00000001211.15",3221.5081572639,2672.80675176118,2909.18032074839,3038.21343541182,3037.34171186802,2739.51097927174
"ENSMUSG00000001227.12",1.56878897358846,2.50497352554937,7.23451742803455,7.57423106366301,1.3234604409011,2.59669287134762
"ENSMUSG00000001228.14",301.991877415778,292.246911314093,394.281199827883,275.512654940742,309.689743170857,273.951097927174
"ENSMUSG00000001229.9",1178.16051916493,1056.26383660665,1096.93370502574,1146.54922726199,1188.46747592919,1317.82163220892
"ENSMUSG00000001247.16",1.56878897358846,5.00994705109875,5.42588807102591,2.84033664887363,3.9703813227033,6.49173217836906
"ENSMUSG00000001248.15",8183.58768072419,10039.0988992267,9031.39069422263,10432.5565113128,11053.541602406,11568.2667418537
"ENSMUSG00000001249.14",0,19.2047970292119,14.4690348560691,8.52100994662089,3.9703813227033,5.19338574269525
"ENSMUSG00000001270.9",38.4353298529172,47.5944969854381,62.397712816798,75.7423106366301,97.9360726266813,75.3040932690811
"ENSMUSG00000001280.13",3205.03587304122,3100.32223345494,2674.05850433727,2925.54674833984,2980.43291290927,2835.5886155116
"ENSMUSG00000001281.10",10343.0257028687,9032.93453313104,9979.11247729516,10585.934690352,11160.741898119,9799.91889646593
"ENSMUSG00000001285.12",502.796866035101,542.744263869031,441.305563110108,391.019678661603,475.122298283495,466.106370406898
"ENSMUSG00000001288.15",872.246669315182,726.442322409318,721.643113446446,812.336281577858,831.13315688589,858.206993980389
"ENSMUSG00000001289.12",3317.98867913959,2690.34156644003,3148.82371055204,3153.72045913269,3082.33936685866,3048.51743096211
"ENSMUSG00000001300.16",8.62833935473651,17.5348146788456,10.8517761420518,8.52100994662089,6.61730220450549,20.773542970781
"ENSMUSG00000001305.5",567.117213952227,414.990614066013,566.100988743704,488.537903606264,530.707636801341,549.200542290022
"ENSMUSG00000001313.12",0.784394486794229,1.66998235036625,5.42588807102591,0,0,2.59669287134762
"ENSMUSG00000001323.17",94.9117329021017,95.1889939708762,107.613446742014,94.6778882957876,84.7014682176703,96.077636239862
"ENSMUSG00000001348.15",4445.16355666289,3549.54748570346,4325.33710728616,4683.71513399261,4360.80215276912,4087.19457950116
"ENSMUSG00000001366.14",840.086495356619,717.257419482304,709.88702262589,802.868492748279,820.545473358681,815.361561603154
"ENSMUSG00000001376.17",469.852297589743,479.284934555113,432.262416325064,402.381025257097,379.833146538615,428.454323772358
"ENSMUSG00000001380.7",1029.12556667403,855.030963387519,989.320258283725,1036.72287683887,1030.97568346196,1039.97549497472
"ENSMUSG00000001383.9",1400.1441589277,1283.38143625646,1429.72150671533,1473.18794188246,1294.34431120127,1413.89926844878
"ENSMUSG00000001403.13",13.3347062755019,23.3797529051275,50.6416219962418,30.296924254652,41.0272736679341,33.7570073275191
"ENSMUSG00000001415.10",1993.14639094413,2354.67511401641,2179.39837519541,1978.76786538196,2178.41588572321,2183.81870480335
"ENSMUSG00000001416.13",3258.37469814323,2745.45098400211,3163.29274540811,3647.9390360367,3340.41415283437,3630.17663414398
"ENSMUSG00000001418.13",1266.79709617268,1100.51836889136,1133.10629216591,1200.51562359059,1212.28976386541,1256.79934973225
